product_id,name,specification,category,official_match_status,image_url,image_rights_status,queue_reasons,priority,source_order
20250812_104948,시카케어 실리콘 겔 시트(소),3cm×12cm 1매,상처,not_applicable,https://smith-nephew.stylelabs.cloud/api/public/content/4e95d4ec304c4f788b56f8e616c0948f?v=6f8e6114,verified,non_medicine_official_source_pending,6,112
20250812_105723,온유바이오 파인애플 그레인 효소,30포,기타,not_applicable,https://img.danuri.io/catalog-image/606/618/122/f8dab3fea4524504b9b5b7fbce7c097b.webp,verified,non_medicine_official_source_pending,6,119
20250812_105753,리틀모어 아르앤비타 블러드 오렌지맛,12g×14포,기타,not_applicable,https://itemimage.cjonstyle.net/goods_images/20/137/2075592137L.jpg?t=20251205200439,verified,non_medicine_official_source_pending,6,122
20250812_105757,아임얼라이브 카무트 브랜드밀 효소,3g×30포,기타,not_applicable,https://img.ssfshop.com/goods/BETY/25/04/23/GQR525042393491_0_ORGINL_20250423131003192.jpg,verified,non_medicine_official_source_pending,6,123
20250812_105814,익수 프리미엄 수 침향환 4.2,30환,기타,not_applicable,https://img1a.coupangcdn.com/image/vendor_inventory/51cd/a86ef25d216629f3ad168bf36702602a5861dc13f99cf9e23919a2d542f4.png,verified,non_medicine_official_source_pending,6,126
20250812_105820,녹십자 하루케어 루테인,30캡슐,영양제,not_applicable,https://img1a.coupangcdn.com/image/vendor_inventory/174a/a0570de1e4584947d821d254ecbdcc317586c59e4bc65cd373eab393feb6.jpg,verified,non_medicine_official_source_pending,6,127
20250812_105859,한삼인 홍기천 앰플,20mL×16병,기타,not_applicable,https://img.danuri.io/catalog-image/122/667/122/e9955df5b55a474daa9bf9407417048a.jpg,verified,non_medicine_official_source_pending,6,130
20250812_105912,한삼인 홍기천 침향환,30환,기타,not_applicable,https://ep-cdn.011st.com/11dims/resize/900x900/quality/75/11src/pd/v2/1/9/8/9/1/4/XwfGK/9486198914_B.webp,verified,non_medicine_official_source_pending,6,132
20250812_105919,씨스팡 늘 비움,28포,다이어트,not_applicable,https://img1a.coupangcdn.com/image/retail/images/50b48da7-70e6-4ef3-a2ba-fab8f8ba8fe215732333612504323224.png,verified,non_medicine_official_source_pending,6,133
20250812_105923,유기농 엑스트라 버진 올리브유,14P,기타,not_applicable,https://img.danuri.io/catalog-image/896/411/054/537eb4aab0294bdd954284ee23900666.jpg,verified,non_medicine_official_source_pending,6,134
20250812_105931,헬씨허그 하루1레몬 유기농 NFC 레몬즙 100%,20g×30포,기타,not_applicable,https://sitem.ssgcdn.com/09/62/09/item/1000682096209_i1_1200.jpg,verified,non_medicine_official_source_pending,6,135
